User Name,App Used,File in App Used,Time Used (seconds),File Path
admin,others,-,13.843269,-
admin,acad.exe,AutoCAD Civil 3D 2010,10.903794,E:\temp\some2.dwg
admin,acad.exe,AutoCAD Civil 3D 2010,10.154067,E:\temp\some1.dwg
admin,acad.exe,AutoCAD Civil 3D 2010,3.295553,
admin,acad.exe,AutoCAD Civil 3D 2010,3.141925,E:\temp\some1.dwg
admin,acad.exe,AutoCAD Civil 3D 2010,3.473928,
admin,acad.exe,AutoCAD Civil 3D 2010,3.442409,E:\temp\some1.dwg
admin,acad.exe,AutoCAD Civil 3D 2010,6.876165,E:\temp\some2.dwg
admin,acad.exe,AutoCAD Civil 3D 2010,6.163836,E:\temp\some1.dwg
admin,acad.exe,AutoCAD Civil 3D 2010,1.580617,E:\temp\some2.dwg
admin,acad.exe,AutoCAD Civil 3D 2010,2.654765,
admin,acad.exe,AutoCAD Civil 3D 2010,2.652521,E:\temp\some2.dwg
admin,acad.exe,AutoCAD Civil 3D 2010,1.767519,
admin,acad.exe,AutoCAD Civil 3D 2010,1.617741,E:\temp\some2.dwg
admin,acad.exe,AutoCAD Civil 3D 2010,0.927421,
admin,acad.exe,AutoCAD Civil 3D 2010,6.761669,E:\temp\some2.dwg
