User Name,App Used,File in App Used,Time Used (seconds),Project Name
admin,others,-,11.860572,-,2024-11-13 21:00
admin,acad.exe,some2.dwg,5.114072,E:\temp\some2.dwg,2024-11-13 21:00
admin,acad.exe,-,1.275409,,2024-11-13 21:00
admin,acad.exe,some2.dwg,6.569964,E:\temp\some2.dwg,2024-11-13 21:00
admin,others,-,2.543528,-,2024-11-13 21:00
admin,acad.exe,some2.dwg,7.008666,E:\temp\some2.dwg,2024-11-13 21:00
admin,others,-,2.95147,-,2024-11-13 21:00
admin,acad.exe,some2.dwg,3.56953,E:\temp\some2.dwg,2024-11-13 21:00
admin,acad.exe,-,0.657457,,2024-11-13 21:00
admin,acad.exe,some2.dwg,4.766534,E:\temp\some2.dwg,2024-11-13 21:00
admin,acad.exe,some1.dwg,2.533519,E:\temp\some1.dwg,2024-11-13 21:00
admin,acad.exe,-,3.10577,,2024-11-13 21:00
admin,acad.exe,some1.dwg,1.611754,E:\temp\some1.dwg,2024-11-13 21:00
admin,acad.exe,-,0.766291,,2024-11-13 21:00
admin,acad.exe,some1.dwg,1.955342,E:\temp\some1.dwg,2024-11-13 21:00
admin,acad.exe,-,0.442068,,2024-11-13 21:00
admin,acad.exe,some1.dwg,3.300386,E:\temp\some1.dwg,2024-11-13 21:00
