Date and Hour,File Worked On,Time Spent on File (seconds),App Used,File Path
2024-11-24 18:00,main.py - file_usage_tracker - Visual Studio Code,5.291098,others,
2024-11-24 18:00,nikgeo01/VOT-docker-file-tracker,1.165521,opera.exe,
2024-11-24 18:00,main.py - file_usage_tracker - Visual Studio Code,4.096218,others,
2024-11-24 18:00,Rakuten Viber,4.236324,Viber.exe,Rakuten Viber
2024-11-24 18:00,main.py - file_usage_tracker - Visual Studio Code,37.106238,others,
2024-11-24 18:00,Information,1.478518,ARCHICAD.exe,Information
2024-11-24 18:00,ARCHICAD 25 DEMO,0.316599,ARCHICAD.exe,ARCHICAD 25 DEMO
2024-11-24 18:00,Opening Project,4.650907,ARCHICAD.exe,Opening Project
2024-11-24 18:00,DGTransparentWindow,6.242407,ARCHICAD.exe,DGTransparentWindow
2024-11-24 18:00,Opening Project,1.68993,ARCHICAD.exe,Opening Project
2024-11-24 18:00,486-GURU-ARCH-08 - ARCHICAD 25 DEMO,17.911311,ARCHICAD.exe,486-GURU-ARCH-08 - ARCHICAD 25 DEMO
