Date and Hour,File Worked On,Time Spent on File (seconds),App Used
2024-11-20 18:00,2024-projects.csv - file_usage_tracker - Visual Studio Code,1.964036,others
2024-11-20 18:00,-,7.472316,ARCHICAD.exe
2024-11-20 18:00,-,0.135852,others
2024-11-20 18:00,Parts.docx,0.761001,WINWORD.EXE
2024-11-20 18:00,-,2.067987,ARCHICAD.exe
2024-11-20 18:00,-,0.131091,others
2024-11-20 18:00,Parts.docx,0.538016,WINWORD.EXE
2024-11-20 18:00,-,0.329092,ARCHICAD.exe
2024-11-20 18:00,2024-projects.csv - file_usage_tracker - Visual Studio Code,6.009526,others
2024-11-20 18:00,-,0.766919,ARCHICAD.exe
2024-11-20 18:00,18-00_20_11_2024.csv - file_usage_tracker - Visual Studio Code,4.802335,others
2024-11-20 18:00,-,36.168576,ARCHICAD.exe
2024-11-20 18:00,-,0.126362,others
2024-11-20 18:00,Parts.docx,1.326111,WINWORD.EXE
2024-11-20 18:00,-,1.265332,ARCHICAD.exe
2024-11-20 18:00,Parts.docx,0.103002,WINWORD.EXE
2024-11-20 18:00,-,0.655741,ARCHICAD.exe
2024-11-20 18:00,file_utils.py - file_usage_tracker - Visual Studio Code,5.736056,others,
2024-11-20 18:00,-,23.479674,ARCHICAD.exe,
2024-11-20 18:00,-,0.118615,others,
2024-11-20 18:00,Parts.docx,2.301636,WINWORD.EXE,https://d.docs.live.net/b504c1621a2004e6/10_klas_tues/VMKS/Parts.docx
2024-11-20 18:00,-,0.977779,ARCHICAD.exe,
2024-11-20 18:00,-,0.108235,others,
2024-11-20 18:00,Active File Tracking Script,0.88095,opera.exe,
2024-11-20 18:00,-,2.960031,ARCHICAD.exe,
2024-11-20 18:00,18-00_20_11_2024.csv - file_usage_tracker - Visual Studio Code,7.857387,others,
2024-11-20 18:00,Parts.docx,4.953678,WINWORD.EXE,https://d.docs.live.net/b504c1621a2004e6/10_klas_tues/VMKS/Parts.docx
2024-11-20 18:00,Документ1,5.913447,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110088,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.105978,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109768,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107394,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108263,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.121264,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.114716,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109039,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107857,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108399,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109846,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107883,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109246,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.105634,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108134,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110144,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108029,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106419,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107633,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108372,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.111207,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10721,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110401,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107405,WINWORD.EXE,Документ1
